NYU ID,Average
N97604433,81
N66238159,85
N85826373,76
N38549165,80
N12000237,80
N96161261,84
N31070086,75
N55898389,84
N11821474,84
N33672313,79
N50046047,84
N78083971,85
N30347449,79
N96950656,86
N26318284,79
N59124207,91
N84208232,84
N87194485,84
N79755484,65
N46238528,86
N27317373,87
N19975138,83
N69189198,79
N76021040,74
N76655412,77
N66382560,84
N78342675,74
N11103016,84
N20893335,72
N20535012,79
N14137883,74
N15652178,83
N34562756,76
N72066815,68
N17679725,75
N87995294,79
N98772518,90
N74086130,84
N45826550,79
N81879620,86
N50201749,84
N37996520,76
N96741324,86
N18330885,80
N44741724,83
N82080793,75
N76580557,84
N21552183,76
N19506990,80
N80383717,92
N36909638,90
N68028214,71
N16157452,88
N94035909,88
N84102711,69
N46452547,82
N70166658,77
N12425804,85
N65437561,75
N83861007,73
N56383766,82
N58172371,79
N31404566,85
N67850216,73
N90643745,77
N15804521,76
N73298168,84
N98627706,73
N74656246,77
N53754533,80
N34635402,85
N45365154,81
N28236157,86
N70668008,87
N20404675,74
N65923003,65
N90806855,76
N79533157,78
N64981290,82
N58347852,88
N75551705,77
N27996649,80
N11088599,75
N12115758,91
N14105669,85
N61868422,85
N89542293,82
N74515971,73
N51484706,92
N45746116,80
N92775139,69
N17627244,81
N78456349,80
N44288184,76
N66819482,77
N36821253,88
N73324345,83
N18771482,96
N82016134,80
N11697469,74
N23224165,83
N79239825,78
N39263835,77
N48602063,77
N90088473,76
